Maison,Coeur,Disponibilité,Famille Olfactive,Fond,Prix,Reference,Saison,Taille,Tête
Adamo Parfum,"Datte, Noix de coco, Pistache",Jovoy,"Gourmand, Hespéridé","Ambroxan, Musc, Praliné",200,Juanillo,"Eté, Printemps",100,"Citron, Mandarine, Orange"
Adamo Parfum,"Noix de muscade, Rose, Tubéreuse",Jovoy,"Aquatique, Boisé","Cèdre, Patchouli, Praliné, Vétiver",240,South of 5th,"Eté, Printemps",100,"Néroli, Pin, Poivre rose"
Adamo Parfum,Fleur d'oranger,Jovoy,"Fruité, Gourmand",Ambre,240,Clifton,"Eté, Printemps",100,Figue
Alexandre J,"Amande, Fleur d'oranger, Jasmin, Peche",Jovoy,"Floral, Fruité, Hespéridé","Ambre, Musc, Rhum, Safran, Santal",139,Mandarine sultane,Toutes,100,"Bergamotte, Citron, Mandarine"
Alexandre J,Safran,Jovoy,"Fruité, Gourmand",Santal,145,Passion Bliss,Toutes,100,Fruit de la passion
Alexandre J,Rose,Jovoy,Oriental,Ambre,139,Silver Ombre,Toutes,100,Citron
Alexandre J,Rose,Jovoy,"Boisé, Floral, Oriental",Vanille,145,Rose Alba,Toutes,100,Prune
Alfred Ritchy,Jasmin,Jovoy,"Chypré, Floral",Ambre,150,Mamba,Toutes,100,Poire
Alfred Ritchy,Lavande,Jovoy,"Fruité, Gourmand",Vanille,150,Nassau,Toutes,100,Noix de coco
Amouage,Rose,"Jovoy, Printemps, Samaritaine","Boisé, Floral",Ambre Gris,490,Guidance 46,"Automne, Hiver",100,Encens
Amouage,Cannelle,"Jovoy, Printemps, Samaritaine","Boisé, Epicé",Santal,365,Overture,"Automne, Hiver",100,Cumin
Amouage,Patchouli,"Jovoy, Printemps, Samaritaine","Ambré, Boisé",Ambre,420,Outlands,Eté,100,Citron
"Acqua di Parma ",Figue,"Galerie Lafayette, Printemps, Samaritaine","Fruité, Hespéridé",Tonka,118,Fico di Amalfi,Eté,50,"Mandarine, Pamplemousse"
Armani,,Galerie Lafayette,,,265,Vert Malachite,"Hiver, Printemps",50,"Benjoin, Jasmin, Lys"
Atelier des ors,,,,,240,Blue Madeleine,,100,
BDK,Iris,"Galerie Lafayette, Jovoy, Printemps, Samaritaine","Boisé, Oriental",Santal,140,Gris Charnel,Toutes,50,Figue
BDK,Coing,"Galerie Lafayette, Jovoy, Printemps, Samaritaine","Aldéhydé, Epicé, Floral",Cashmeran,140,Pas ce soir,Toutes,50,Mandarine
BDK,Rose,"Galerie Lafayette, Jovoy, Printemps, Samaritaine","Boisé, Floral, Gourmand",Vanille,140,Impadia,,50,Mandarine
Born to stand out,Cèdre,"Jovoy, Samaritaine","Boisé, Fruité",Santal,195,Fig Porn,Toutes,50,Figue
Born to stand out,Cannelle,"Jovoy, Samaritaine",Gourmand,Cacao,195,Sugar addict,,50,Sucre
Born to stand out,Neroli,"Jovoy, Samaritaine","Floral, Oriental",Vanille,195,Dirty heaven,,50,Jasmin
Bybozo,Muguet,Jovoy,Chypré,Patchouli,175,Immoral,"Automne, Hiver",75,Fruit de la passion
Born to stand out,Bois d'akigala,Samaritaine,"Boisé, Oriental",Vanille,195,a corps secret,,50,Bergamotte
Byredo,Magnolia,"Galerie Lafayette, Samaritaine","Floral, Oriental",Bois de cèdre,165,Mojave Ghost,"Eté, Printemps",50,Ambrette
"Chambre 52 ",Rose,Printemps,"Floral, Fruité",Musc Blanc,160,Orencie,,52,Litchi
